modelo,modulo,testes_gerados,testes_executaveis,testes_aprovados,cobertura_linhas,linhas_nao_cobertas,alucinacoes,esforco_correcao_humana
claude,orders,22,22,22,100%,-,0,nenhum
claude,payments,30,30,30,98%,L106,0,nenhum
claude,customer_risk,30,30,30,100%,-,0,nenhum
claude,TOTAL,82,82,82,99%,payments:L106,0,nenhum
gemini,orders,41,41,41,100%,-,nenhuma,nenhum
gemini,payments,36,36,36,98%,L106,nenhuma,nenhum
gemini,customer_risk,53,53,53,100%,-,nenhuma,nenhum
gemini,TOTAL,120,120,120,99%,payments:L106,nenhuma,nenhum
chatgpt,orders,47,47,47,100%,-,0,médio (10-15min) para correção de identação
chatgpt,payments,43,43,43,98%,L106,0,nenhum
chatgpt,customer_risk,54,54,54,100%,-,0,nenhum
chatgpt,TOTAL,144,144,144,99%,payments:L106,0, médio em orders.py (10-15min)
